taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Gymnocranius,Largeeye breams,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Emperor bream; mixed benthic-invertebrate/small-fish diet, trophic level (3.4-3.59) fits the Benthivores/piscivores band."
Muraenidae,Moray eels,Large reef assoc. fish (>=90 cm),Other fishes & inverts,Piscivores,,medium,inherited_mapping,"Moray eel; ambush piscivorous predator, trophic level (4.07) consistent with the Piscivores band. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ibacus ciliatus,Sand Crayfish,"Lobsters, crabs",Crustaceans,Crabs,,medium,inherited_mapping,"Slipper/spiny lobsters (Achelata) are not Brachyura, so this is not the same unambiguous taxonomic box as true crabs; the model has no separate lobster group and Sea Around Us's own commercial_group for these rows is 'Lobsters, crabs', so Crabs (the large-benthic-decapod catch-all) is the best-supported analogue. Ecological inference, not explicit or taxonomic membership."
Scylla serrata,Indo-Pacific swamp crab,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,Brachyuran mud crab; unambiguous taxonomic fit since Crabs is the model's only true-crab group.
Istiophoridae,Billfishes,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Megalaspis cordyla,Torpedo scad,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Carangid jack; ecologically similar to the explicit Table S1 members Decapterus maruadsi and Trachurus japonicus (schooling, plankton- and small-fish-feeding pelagic predator), though this genus is not itself listed. Trophic level is broadly consistent with the group's band."
Hexagrammos otakii,Fat grrenling,Small pelagics (<30 cm),Scorpionfishes,,,,,
Mizuhopecten yessoensis,Yesso scallop,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Platycaranx malabaricus,Malabar trevally,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Carangid jack; ecologically similar to the explicit Table S1 members Decapterus maruadsi and Trachurus japonicus (schooling, plankton- and small-fish-feeding pelagic predator), though this genus is not itself listed. Trophic level is broadly consistent with the group's band."
Rachycentridae,Cobias,Large pelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Haliotis,Abalones,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Sillago,Smelt-whitings,Medium demersals (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Whiting/sillaginid; sand-dwelling benthic-invertebrate feeder, ecology consistent with Benthivores."
Hemiramphidae,"Halfbeaks, garfishes",Medium pelagics (30 - 89 cm),Other fishes & inverts,Omnivores,,medium,inherited_mapping,"Halfbeak; mixed diet of zooplankton and filamentous algae/seagrass, trophic level (3.4) fits the Omnivores band well."
Hypoptychus dybowskii,Korean sandlance,Small benthopelagics (<30 cm),Other fishes & inverts,,,,,
Bramidae,Pomfrets,Medium pelagics (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Pomfret; oceanic mesopelagic predator on fish and squid, high reported trophic level (4.14) consistent with Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Penaeus monodon,Giant tiger prawn,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Acanthocybium solandri,Wahoo,Large pelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Saurida undosquamis,Brushtooth lizardfish,Medium demersals (30 - 89 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Saurida tumbil) / its genus and family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Beryx splendens,Splendid alfonsino,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Piscivores,,medium,inherited_mapping,"Alfonsino; deep-water predator on crustaceans and small fish with an elevated trophic level (3.97-4.27); Piscivores is the closest-fitting guild among the model's groups, though this bathydemersal taxon is likely marginal to the shelf-focused model. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Auxis rochei,Bullet tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,Piscivores,,high,inherited_mapping,"Genus of the exact Table S1 Piscivores member A. thazard. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Scorpaeniformes,"Scorpionfishes, flatheads",Medium demersals (30 - 89 cm),Scorpionfishes,Unresolved,,unresolved,none,Order-level taxon spanning multiple of the model's feeding-guild groups; too broad to place without further identification.
Epinephelus maculatus,Highfin grouper,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper; ambush piscivorous predator, and reported trophic level (3.84-4.16) sits within the Piscivores band (3.571-3.940), a close corroborating match. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Isurus,Mako sharks,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Dussumieria elopsoides,Slender rainbow sardine,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Small schooling zooplanktivorous pelagic (round herring / sandlance); not an explicit Table S1 member, but ecology and reported trophic level are consistent with this guild. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Chirocentrus dorab,Dorab wolf-herring,Large benthopelagics (>=90 cm),Herring-likes,,,,,
Oratosquilla oratoria,Japanese squillid mantis shrimp,Shrimps,Crustaceans,Shrimps,,medium,inherited_mapping,"Mantis shrimp (Stomatopoda) are taxonomically distinct from the decapod shrimp Table S1 lists, but Sea Around Us's own functional_group bucket for these rows is 'Shrimps' and no stomatopod group exists in the model; placed by commercial/ecological analogy, not taxonomic containment."
Saurida,Lizardfishes,Medium demersals (30 - 89 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Saurida tumbil) / its genus and family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Stolephorus,Garment anchovies,Small pelagics (<30 cm),Anchovies,,,,,
Sphyraena,"Barracudas, sennets",Large pelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Barracuda; obligate fast-strike piscivore, high reported trophic level (4.4-4.49) consistent with an apex-fish-eating placement. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Rapana,Rapa whelks,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Sphyraenidae,Barracudas,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Barracuda; obligate fast-strike piscivore, high reported trophic level (4.4-4.49) consistent with an apex-fish-eating placement. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Pseudopleuronectes herzensteini,Yellow striped flounder,Small to medium flatfishes (<90 cm),Flatfishes,Benthivores,,medium,inherited_mapping,"Righteye flounder; classic benthic invertebrate-feeding flatfish, trophic level (3.15) close to the Benthivores band. The model has no dedicated flatfish group."
Hemitriakis japanica,Japanese topeshark,Large sharks (>=90 cm),Sharks & rays,,,,,
Makaira mazara,Indo-Pacific blue marlin,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Marine pelagic fishes not identified,Pelagic fishes,Medium pelagics (30 - 89 cm),Other fishes & inverts,Unresolved,,unresolved,none,Aggregate Sea Around Us catch category with no taxonomic resolution; spans essentially the whole model's fish-guild structure.
Mierspenaeopsis hardwickii,Spear shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Near-certain spelling/genus variant of Table S1's 'Parapenaeopsis hardwickii' (same species epithet, same penaeid shrimp fauna); treated as an accepted-name match to Shrimps."
Beryx,Alfonsinos,Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Piscivores,,medium,inherited_mapping,"Alfonsino; deep-water predator on crustaceans and small fish with an elevated trophic level (3.97-4.27); Piscivores is the closest-fitting guild among the model's groups, though this bathydemersal taxon is likely marginal to the shelf-focused model. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Auxis thazard,Frigate tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,Piscivores,,high,inherited_mapping,"Exact species listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Polydactylus sexfilis,Sixfinger threadfin,Medium demersals (30 - 89 cm),Perch-likes,Omnivores,,high,inherited_mapping,Family Polynemidae contains the exact Table S1 member Eleutheronema tetradactylum (Omnivores).
Seriola dumerili,Greater amberjack,Large reef assoc. fish (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Amberjack; fast-swimming apex piscivorous predator, high reported trophic level (4.39-4.5) consistent with, if above, the Piscivores band. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Cheilopogon unicolor,Limpidwing flyingfish,Medium pelagics (30 - 89 cm),Other fishes & inverts,Omnivores,,medium,inherited_mapping,"Flying fish; surface feeder on zooplankton with some omnivorous tendency, trophic level (3.4-3.7) fits the Omnivores band."
Lates calcarifer,Barramundi,Large demersals (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Barramundi; apex ambush piscivore in estuarine/coastal habitats, high reported trophic level (4.35) consistent with Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Hexagrammidae,Greenlings,Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"Greenling; benthic feeder on invertebrates and small fish, trophic level (3.6-3.72) fits this guild; likely a cold-water species marginal to the core ECS shelf fauna."
Clupanodon thrissa,Chinese gizzard shad,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Clupeidae filter-feeding planktivore; the family is split across guilds in this model (Sardinella aurita -> Planktivores vs. Ilisha elongata -> Omnivores), so genus-level ecological similarity to the Planktivores exemplar (obligate zooplankton filter-feeder) plus a lower reported trophic level (2.8-3.2, closer to Planktivores' 2.92-2.95 than Omnivores' 3.14-3.43) supports this placement over an exact taxonomic rule. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ommastrephes bartramii,Neon flying squid,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Mola mola,Ocean sunfish,Large pelagics (>=90 cm),Other fishes & inverts,Unresolved,,unresolved,none,"Ocean sunfish; a gelatinous-zooplankton specialist whose unusual diet does not correspond well to any of the model's guilds (nominally closest to Planktivores by diet, but its reported trophic level does not support that placement); flagged rather than forced."
Scaridae,Parrotfishes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,Parrotfish; herbivorous algae grazer with a very low reported trophic level (2.0) that fits none of the model's consumer-fish guilds; no defensible group fit rather than a forced placement.
Aluterus,Aluterid filefishes,Large reef assoc. fish (>=90 cm),Other fishes & inverts,Planktivores/piscivores,,high,inherited_mapping,Exact species (A. monoceros) / genus listed in Table S1 under this group.
Chionoecetes,"Tanner, snow crabs","Lobsters, crabs",Crustaceans,,,,,
Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Scylla,Mud crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,Brachyuran mud crab; unambiguous taxonomic fit since Crabs is the model's only true-crab group.
Gadiformes,Cods,Medium benthopelagics (30 - 89 cm),Cod-likes,,,,,
Encrasicholina punctifer,Buccaneer anchovy,Small pelagics (<30 cm),Anchovies,Planktivores,,high,inherited_mapping,"Engraulidae; Table S1's Planktivores membership includes three Engraulidae genera (Thryssa x3, Stolephorus commersonnii), so this family is explicitly and repeatedly represented in the group's definition. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Nibea albiflora,Yellow drum,Medium benthopelagics (30 - 89 cm),Perch-likes,Omnivores,,high,inherited_mapping,Exact species listed in Table S1 under Omnivores.
Carcharhinus falciformis,Silky shark,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Parupeneus barberinus,Dash-and-dot goatfish,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Goatfish; barbel-probing benthic-invertebrate feeder, ecologically a benthivore despite a slightly elevated reported trophic level (3.22-3.46)."
Epinephelus malabaricus,Malabar grouper,Large reef assoc. fish (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper; ambush piscivorous predator, and reported trophic level (3.84-4.16) sits within the Piscivores band (3.571-3.940), a close corroborating match. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ranina ranina,Kona crab ,"Lobsters, crabs",Crustaceans,,,,,
Metapenaeus ensis,Greasyback shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Genus Metapenaeus has an exact species (M. joyneri) in Table S1's Shrimps membership.
Rachycentron canadum,Cobia,Large pelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Sphyraena barracuda,Great barracuda,Large pelagics (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Barracuda; obligate fast-strike piscivore, high reported trophic level (4.4-4.49) consistent with an apex-fish-eating placement. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Berycidae,"Alfonsinos, redfishes",Medium benthopelagics (30 - 89 cm),Other fishes & inverts,Piscivores,,medium,inherited_mapping,"Alfonsino; deep-water predator on crustaceans and small fish with an elevated trophic level (3.97-4.27); Piscivores is the closest-fitting guild among the model's groups, though this bathydemersal taxon is likely marginal to the shelf-focused model. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Psettodes erumei,Indian halibut,Small to medium flatfishes (<90 cm),Flatfishes,Piscivores,,medium,inherited_mapping,"Spiny turbot; unlike most flatfish this primitive species is markedly predatory, and its high trophic level (4.39) confirms a piscivorous diet. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Paralithodes,North Pacific king crabs,"Lobsters, crabs",Crustaceans,,,,,
Hemitrygon akajei,Whip stingray,Large rays (>=90 cm),Sharks & rays,Benthivores,,medium,inherited_mapping,"Stingray (Batoidea); ecologically analogous to the explicit Table S1 Benthivores member Narcine lingula, which is also a benthic invertebrate-feeding ray -- true sharks, not rays, are the taxonomic basis of the model's Sharks group. Reported trophic level (3.84) is higher than the Benthivores band, a noted limitation of this ecological placement."
Chionoecetes opilio,Snow crab,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,Brachyuran snow crab; unambiguous taxonomic fit since Crabs is the model's only true-crab group.
Sillago sihama,Silver sillago,Medium demersals (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Whiting/sillaginid; sand-dwelling benthic-invertebrate feeder, ecology consistent with Benthivores."
Lethrinus miniatus,Trumpet emperor,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Large emperor bream with a markedly higher trophic level (4.19) than its family's typical benthivore/piscivore niche, indicating a more strongly piscivorous diet; placed in Piscivores rather than Benthivores/piscivores on that basis. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Istiophorus platypterus,Indo-Pacific sailfish,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Lutjanus bohar,Two-spot red snapper,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Snapper; active predator on fish and crustaceans, high trophic level (4.02-4.27) consistent with Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Rhincodon typus,Whale shark,Large sharks (>=90 cm),Sharks & rays,,,,,
Sergestidae,Sergestid shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Genus/family of the explicit Table S1 member Acetes chinensis.
Lepidocybium flavobrunneum,Escolar,Large bathypelagics (>=90 cm),Perch-likes,,,,,
Acetes,Acetes shrimps,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Genus/family of the explicit Table S1 member Acetes chinensis.
Zenopsis nebulosa,Mirror dory,Medium bathydemersals (30 - 89 cm),Other fishes & inverts,Piscivores,,medium,inherited_mapping,"Mirror dory; ambush piscivorous predator, trophic level (3.98) close to the Piscivores band. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Carcharhinus longimanus,Oceanic whitetip shark,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Lutjanus,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Snapper; active predator on fish and crustaceans, high trophic level (4.02-4.27) consistent with Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Alopias,Thresher sharks,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Holothuriidae,Fleshy sea cucumbers,Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,inherited_mapping,"Echinodermata; Table S1 lists Ophiuroidea as the group's example composition and Echinoderms is the model's only echinoderm group, so any echinoderm taxon is an unambiguous fit."
Tripneustes gratilla,Shortspine urchin,Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,inherited_mapping,"Echinodermata; Table S1 lists Ophiuroidea as the group's example composition and Echinoderms is the model's only echinoderm group, so any echinoderm taxon is an unambiguous fit."
Chionoecetes japonicus,Red snow crab,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,Brachyuran snow crab; unambiguous taxonomic fit since Crabs is the model's only true-crab group.
Upeneus,Upeneid goatfishes,Small reef assoc. fish (<30 cm),Perch-likes,,,,,
Echinozoa,Sea urchins and sea cucumbers,Other demersal invertebrates,Other fishes & inverts,,,,,
Rhopilema hispidum,Sand jellyfish,Jellyfish,Other fishes & inverts,Other invertebrates,,high,inherited_mapping,"Cnidaria (scyphozoan jellyfish); Table S1 gives 'Cnidaria' as this group's composition and the 24-group model has no separate jellyfish/cnidarian group, so jellyfish taxa fall here unambiguously."
Sphyrna,Hammerhead sharks,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Isurus oxyrinchus,Shortfin mako,Large sharks (>=90 cm),Sharks & rays,Sharks,,high,inherited_mapping,"True shark (order Lamniformes/Carcharhiniformes); Table S1's sole example (Scoliodon laticaudus) is also a true shark, and Sharks is the model's only shark group, so any true shark is an unambiguous taxonomic fit. Note this does NOT extend to rays/skates (Batoidea) -- see Elasmobranchii/Batoidea/Chondrichthyes below."
Pinctada,Mother of pearl oysters,Other demersal invertebrates,Molluscs,,,,,
Scombroidei,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Caranx,Jacks,Medium reef assoc. fish (30 - 89 cm),Perch-likes,,,,,
